baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unadj.log2
2L52.1	34.7181570931123	0.111781033470381	0.385667065755221	0.289838161968767	0.771940051317226	0.967615863133766	1.06276877349561
2RSSE.1	310.466755758648	0.0942653022550939	0.204942688656811	0.459959332401201	0.64554541118646	0.937527793273746	1.0802845047109
2RSSE.2	19.1730613377457	0.451990001622537	0.444274407242503	1.01736673158358	0.308979002144652	0.790242252924498	0.722559805343457
3R5.1	26.5411632305333	-0.356368982234286	0.356621458540636	-0.999292032769471	0.317653243830303	0.796803013589934	1.53091878920028
4R79.1	65.8675257290004	-0.0241057248548571	0.666874910108532	-0.0361472961262465	0.971164910094053	0.995433542083296	1.19865553182085
4R79.2	13.191341306807	-0.0357367647308042	0.452085098378763	-0.0790487562163872	0.936993842511114	0.991920738463924	1.2102865716968
6R55.2	1.57667178824648	-0.864351347428365	1.38955948020171	-0.622032636777014	0.533920407891856	NA	2.03890115439436
AC3.1	1.30609590833671	1.77719959121283	1.32136684258975	1.34497062733139	0.178634720222213	NA	-0.602649784246836
AC3.10	0.754316409000287	0.604215947435806	2.10561634893298	0.286954433908149	0.774147210034073	NA	0.570333859530188
AC3.2	184.338289915827	0.182128565666972	0.218595124279588	0.833177621263068	0.40474456178677	0.849181543415963	0.992421241299021
AC3.3	24.5337347923201	0.00590516095852043	0.532896089914355	0.0110812615635245	0.991158613430014	0.99944460112996	1.16864464600747
AC3.4	5.81995794415755	0.194453674085283	0.782332794545151	0.248556209634978	0.80370408517877	0.97037018900035	0.980096132880711
AC3.5	1929.21550837762	-0.298282057056741	0.228723126134516	-1.30411848638915	0.192193186747778	0.690430496461667	1.47283186402274
AC3.6	1.70917829042271	-0.65246740098002	1.27194892117409	-0.512966668801251	0.607974636383242	NA	1.82701720794601
AC3.7	38.8060245174742	-0.110543224728205	0.408518698702073	-0.270595263030597	0.786702339507116	0.967688634125602	1.2850930316942
AC3.8	77.9408889183229	-0.208756689739283	0.42923772237132	-0.486342832559097	0.626724115383007	0.932106621001793	1.38330649670528
AC7.1	4.21303502345081	-0.30359651740973	0.933562685337244	-0.325202069639338	0.745028142398248	0.959723554236063	1.47814632437572
AC7.2	1387.9046110358	-0.289739398859291	0.140371473139785	-2.06409031962472	0.039009153631855	0.387601049728305	1.46428920582528
AC7.3	0.489210090675153	2.58696446546178	2.12644962575584	1.21656513003088	0.223769716622821	NA	-1.41241465849579
AC8.10	0	NA	NA	NA	NA	NA	NA
AC8.11	0	NA	NA	NA	NA	NA	NA
AC8.12	0	NA	NA	NA	NA	NA	NA
AC8.3	0	NA	NA	NA	NA	NA	NA
AC8.4	0.203744017032262	-0.00789546144069868	3.44051928466081	-0.00229484586117559	0.998168979525068	NA	1.18244526840669
AC8.7	0	NA	NA	NA	NA	NA	NA
AH10.1	0.674777009742297	-0.303576603037843	2.00723272018281	-0.151241358306571	0.879785326299115	NA	1.47812641000384
AH10.2	0.265272558864384	1.27557970211614	3.0203575968381	0.422327377212384	0.672786077893349	NA	-0.101029895150141
AH10.3	17.1138427117627	-0.278065281027382	0.481559890209511	-0.57742616584285	0.563651602576608	0.910889677633949	1.45261508799338
AH10.4	0.347009786031741	0.757811749843076	2.40477488130497	0.315127938059567	0.752664516876905	NA	0.416738057122918
AH6.1	0.518143353013675	-1.1985641459384	2.76961672454075	-0.432754516290388	0.66519311981877	NA	2.37311395290439
AH6.10	1.63646953869399	0.277948099267048	1.22377775651856	0.227123019507858	0.820328084762081	NA	0.896601707698946
AH6.11	0.218270545228654	-0.105605032969112	3.43932270573574	-0.0307051829690176	0.975504657701374	NA	1.28015483993511
AH6.12	0	NA	NA	NA	NA	NA	NA
AH6.14	0.14748396490027	0.33453622953491	3.44527316080115	0.0971000596820946	0.922646933467422	NA	0.840013577431084
AH6.2	0.578660845187101	0.982904629329794	2.25418569838483	0.436035340847946	0.66281108857654	NA	0.1916451776362
AH6.3	0.101294870217849	0.79454490080396	3.44865606662119	0.230392618299688	0.817786696633326	NA	0.380004906162034
AH6.4	0.370789988853709	-0.721483456125545	2.80917607663891	-0.256830984047386	0.797309250333166	NA	1.89603326309154
AH6.5	34.9486773332459	0.105790579806931	0.428770815785088	0.246729898379922	0.805117266191512	0.970623285819019	1.06875922715906
AH6.6	0	NA	NA	NA	NA	NA	NA
AH6.7	0.393973317429621	-0.812573258022898	2.36648960047948	-0.343366502797333	0.731322756266135	NA	1.98712306498889
AH6.8	0.451965589731596	0.274277029941717	2.2656472762852	0.12105901603158	0.903644290830391	NA	0.900272777024277
AH9.1	11.3756669885053	0.336189466959925	0.531631338330121	0.632373305937742	0.527142972675398	0.89983520389649	0.83836034000607
AH9.2	17.5664032998788	0.722799430847825	0.53500324319587	1.35101878360614	0.176689415746939	0.67287214765279	0.451750376118169
AH9.3	63.6959353988221	-0.299503685403874	0.262602773992418	-1.14051988427404	0.25406977341781	0.750399478119047	1.47405349236987
