baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unadj.log2
2L52.1	365.363788094547	0.213055556863138	0.243012768457395	0.876725771306503	0.380635605369424	0.999816266586626	-1.23179810186006
2RSSE.1	1604.58420632336	0.130749747994192	0.540294227496607	0.24199730691184	0.80878224999565	0.999816266586626	-1.14949229299111
2RSSE.2	129.640458408056	0.0867634736749495	0.638897835918187	0.135801796151427	0.891977971094249	0.999816266586626	-1.10550601867187
3R5.1	43.2873299835863	0.269058974808739	0.202874375558977	1.32623439538583	0.184762069658799	0.999816266586626	-1.28780151980566
4R79.1	35.7077981176465	-0.650778441374327	2.05432614684743	-0.316784383226107	0.751407214774304	0.999816266586626	-0.36796410362259
4R79.2	8.65009533472106	-0.657026890912763	1.92826888113326	-0.340734063252954	0.733303792768947	NA	-0.361715654084155
6R55.2	0.615101468186043	-1.64916116056763	2.06888008787052	-0.797127475022054	0.425377001070784	NA	0.630418615570714
AC3.1	5.43712762200403	-0.870395819619144	0.816951921031938	-1.06541865832165	0.286686517037531	NA	-0.148346725377773
AC3.10	1.14261683195046	-0.608568992070575	1.72366715555411	-0.353066420108781	0.724038646645684	NA	-0.410173552926342
AC3.2	180.27485168107	-0.111784165502608	0.506531029572122	-0.220685721064382	0.825337150306057	0.999816266586626	-0.90695837949431
AC3.3	3.89970507536835	0.339546530480389	2.2505539771705	0.150872422490076	0.880076355101523	NA	-1.35828907547731
AC3.4	0.365924274292494	1.52751756999219	2.00588280846032	0.761518850228687	0.446347224176298	NA	-2.54626011498911
AC3.5	16.0066522176689	-0.290829345697298	1.18017490142058	-0.246429021111385	0.805350143179291	NA	-0.72791319929962
AC3.6	2.25495593122254	-0.835935610300925	0.907388549738603	-0.921254307806439	0.356917670552622	NA	-0.182806934695992
AC3.7	40.1825458392395	0.0526385908385653	0.558056304776433	0.0943248743684623	0.924851091113248	0.999816266586626	-1.07138113583548
AC3.8	7.25403520087742	-0.187084486530038	1.56355657006747	-0.11965316133203	0.904757905537213	NA	-0.831658058466879
AC7.1	3.77797680509881	-1.1027256278413	1.71198835275897	-0.644119818960331	0.519497739529611	NA	0.0839830828443848
AC7.2	695.573743217268	-0.0616486190591381	0.903952626968932	-0.0681989489491874	0.945627263642327	0.999816266586626	-0.957093925937779
AC7.3	0.586346027850846	-1.68256159311299	2.164722282706	-0.777264412416783	0.437002786635602	NA	0.663819048116077
AC8.10	0	NA	NA	NA	NA	NA	NA
AC8.11	0	NA	NA	NA	NA	NA	NA
AC8.12	0	NA	NA	NA	NA	NA	NA
AC8.3	0	NA	NA	NA	NA	NA	NA
AC8.4	0.374513884684261	-2.76918544617843	4.05336610379849	-0.683181675492713	0.494492050262793	NA	1.75044290118151
AC8.7	0	NA	NA	NA	NA	NA	NA
AH10.1	5.87460279057271	-2.59752592983279	1.49389472639788	-1.7387610277573	0.0820768063619819	NA	1.57878338483587
AH10.2	34.8462582018775	-1.07788001257326	0.875385620318513	-1.23132021768997	0.218203123161446	0.999816266586626	0.0591374675763429
AH10.3	36.7893406195032	-0.470536133241442	1.574950088578	-0.298762568194324	0.765121213427715	0.999816266586626	-0.548206411755475
AH10.4	0.0460411993528226	-1.57062681535291	4.06603581978998	-0.386279630815952	0.699289584312917	NA	0.551884270355993
AH6.1	0.264478958743265	1.25958959998794	3.90463498703774	0.322588309578082	0.74700704839823	NA	-2.27833214498486
AH6.10	0.930140079774143	-2.07207634285966	2.83791410668379	-0.730140612071223	0.46530423920687	NA	1.05333379786274
AH6.11	0.070272344305227	-1.58292572798859	4.0659837282011	-0.389309410416386	0.69704727583649	NA	0.564183182991668
AH6.12	0	NA	NA	NA	NA	NA	NA
AH6.14	0.0978698246199462	-0.195957531256028	4.0538732160003	-0.0483383472582713	0.961446593566924	NA	-0.82278501374089
AH6.2	0.568034928806603	0.502405380334852	2.99819417844018	0.167569326879365	0.866922103545133	NA	-1.52114792533177
AH6.3	0.858815416406652	0.15735112485916	1.97569448274426	0.0796434500543817	0.936520836807975	NA	-1.17609366985608
AH6.4	0.948870398108631	-2.29469635332814	1.72285511157666	-1.33191487659584	0.182888161952509	NA	1.27595380833123
AH6.5	3711.07777985187	-0.345203726620973	0.794866795580408	-0.434291290742504	0.664076927450881	0.999816266586626	-0.673538818375943
AH6.6	0.0503811180779521	0.335966596188859	4.03841437690368	0.083192700112773	0.933698317085832	NA	-1.35470914118578
AH6.7	0.165874933228402	-0.195957531256028	4.0538732160003	-0.0483383472582714	0.961446593566924	NA	-0.822785013740889
AH6.8	0	NA	NA	NA	NA	NA	NA
AH9.1	13.0261481862303	-0.414594109748817	0.41648296030395	-0.995464759101419	0.319510275851106	NA	-0.6041484352481
AH9.2	181.422374184791	-0.310270373498466	0.747650518185079	-0.414993858697038	0.678146398881953	0.999816266586626	-0.708472171498452
AH9.3	643.575067239669	0.119632179349364	0.18570030419145	0.644221773735104	0.519431633499483	0.999816266586626	-1.13837472434628
