baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unadj.log2
2L52.1	329.757451285665	-0.102103160533131	0.341054062461053	-0.299375294920556	0.764653710056714	0.999280089884522	0.976105674068318
2RSSE.1	1452.50230030742	0.0202404258163964	0.771549458197821	0.0262334781021994	0.979071113400778	0.999280089884522	0.85376208771879
2RSSE.2	115.858321396007	0.323744500141638	0.90763577925591	0.356689883255867	0.721323980017661	0.999280089884522	0.550258013393554
3R5.1	42.318611737657	-1.00248424518572	0.272627221139322	-3.67712454022855	0.000235877894712781	0.339555301665768	1.87648675872091
4R79.1	33.0787352379257	1.36836335923214	2.94436242259224	0.464740124630248	0.642117570470948	0.999280089884522	-0.494360845696946
4R79.2	7.73770657637057	4.13182105418542	3.15389138116381	1.31007081564767	0.190171880226819	0.999280089884522	-3.25781854065023
6R55.2	0.57265554047716	3.02320133662374	3.20118249258452	0.944401434040994	0.344964548948221	0.999280089884522	-2.14919882308865
AC3.1	5.16998298931156	1.13454247193509	1.21335592760638	0.935045064784271	0.34976507565967	0.999280089884522	-0.260539958399893
AC3.10	1.0053166005508	3.65073632485721	2.9000031995161	1.25887320588694	0.208076133176677	0.999280089884522	-2.77673381132223
AC3.2	166.217373231053	0.219870187054867	0.724473088321283	0.30348979223554	0.761516625497157	0.999280089884522	0.65413232648032
AC3.3	3.0858762812455	5.25749676239052	4.16355397902406	1.26274254852411	0.206681717587523	0.999280089884522	-4.38349424885532
AC3.4	0.213042366228729	-0.442533656031762	4.00963920854423	-0.110367450290479	0.912117966299446	0.999280089884522	1.31653616956704
AC3.5	13.8845395180428	3.38366775593239	1.80354558102716	1.87611990044927	0.060638817643675	0.999280089884522	-2.50966524239719
AC3.6	2.03005223199225	4.69355008341829	2.29745516860703	2.04293435082089	0.0410589373009886	0.999280089884522	-3.81954756988303
AC3.7	35.7107562188463	0.550584379768592	0.821990889033177	0.669818105181418	0.502973750523809	0.999280089884522	0.323418133766625
AC3.8	6.43113086319662	1.24156970947225	2.25332606881616	0.550994250967212	0.581637615592513	0.999280089884522	-0.367567195937066
AC7.1	3.51850992745507	2.98252790668755	2.84355565001624	1.04887270508334	0.294236709439676	0.999280089884522	-2.10852539315235
AC7.2	615.086966542168	0.94503260291716	1.27389050236079	0.74184759299627	0.458179681166694	0.999280089884522	-0.0710300893819669
AC7.3	0.557012048046175	2.97521654104948	3.3657556654011	0.883966881979509	0.376714090870722	0.999280089884522	-2.10121402751452
AC8.10	0	NA	NA	NA	NA	NA	NA
AC8.11	0	NA	NA	NA	NA	NA	NA
AC8.12	0	NA	NA	NA	NA	NA	NA
AC8.3	0	NA	NA	NA	NA	NA	NA
AC8.4	0.381009380974821	2.63996222160492	5.25769256247563	0.502114224107823	0.615587175136288	0.999280089884522	-1.76595970806973
AC8.7	0.0487955210814173	-1.31817802126292	5.06634588640433	-0.260183187413297	0.794722472284789	0.999280089884522	2.19218053479811
AH10.1	6.09965295360027	0.896896384420289	1.95985281400692	0.457634562151932	0.647215008331461	0.999280089884522	-0.0228938708850934
AH10.2	34.1734856131037	0.712670781490312	1.22015332232526	0.58408297420538	0.559164489025974	0.999280089884522	0.161331732044898
AH10.3	33.595988422772	1.28993234717282	2.20802493301851	0.58420189368487	0.559084487630612	0.999280089884522	-0.415929833637631
AH10.4	0.0465426889463264	1.43917600883753	5.26749722190055	0.273218180895074	0.784685505142382	0.999280089884522	-0.565173495302335
AH6.1	0.1515839149829	1.4522111806181	5.26745466919744	0.275695050421642	0.78278229755014	0.999280089884522	-0.578208667082908
AH6.10	0.892302217651824	3.51296068940343	4.5629086265832	0.769895033386633	0.441362160295467	0.999280089884522	-2.63895817586839
AH6.11	0.0711614672546589	1.4522111806181	5.26745466919744	0.275695050421642	0.782782297550139	0.999280089884522	-0.578208667082907
AH6.12	0	NA	NA	NA	NA	NA	NA
AH6.14	0.0604634165551012	1.4522111806181	5.26745466919744	0.275695050421642	0.782782297550139	0.999280089884522	-0.578208667082908
AH6.2	0.486284354008297	1.82690073050864	5.2656943274446	0.346943938805353	0.7286334360354	0.999280089884522	-0.952898216973444
AH6.3	0.679985534831764	3.24300894616793	4.30111304052258	0.753992958477072	0.450853449950489	0.999280089884522	-2.36900643263272
AH6.4	0.961387110391555	1.18898956471094	1.95565122668228	0.607976283546241	0.54320320363102	0.999280089884522	-0.314987051175728
AH6.5	3516.91899438674	0.194100972561173	1.13017136809551	0.17174472654378	0.863638221508802	0.999280089884522	0.679901540974021
