baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unadj.log2
2L52.1	41.3867309008918	0.0571170057002707	0.287727152372189	0.198511003321602	0.842645276650501	0.894102845202779	-0.04560988752895
2RSSE.1	295.935027517653	0.208934989110953	0.201044581327095	1.03924705521419	0.298689851264595	0.473475809286521	-0.197427870939525
2RSSE.2	15.3804004743634	0.244347379274224	0.500764923008586	0.487948272826678	0.62558648077713	0.737759495261161	-0.232840261103096
3R5.1	118.678774663696	-1.30929063098518	0.241285015841076	-5.42632382877663	5.75265495016189e-08	1.05731652761602e-05	1.32079774915642
4R79.1	2.70574563189954	-0.536569606173465	1.16854881765737	-0.459176029332815	0.646107762676865	NA	0.548076724344893
4R79.2	25.9856382366565	2.445018103715	0.980511679810379	2.49361446075568	0.0126449807554486	0.072552561129484	-2.43351098554358
6R55.2	1.63980931718783	0.549315834514764	1.00764774346507	0.545146692459997	0.58565263127967	NA	-0.537808716342696
AC3.1	2.48872344404618	1.75453207721772	1.4493845491812	1.21053593279224	0.226073311265781	NA	-1.74302495904633
AC3.10	110.099209915682	3.61334301494024	1.15835457324659	3.11937561986128	0.00181234759664813	0.0279306107698584	-3.60183589676881
AC3.2	318.235004196965	0.227838651078236	0.319868768922078	0.712287891831475	0.476286520332924	0.624759927684103	-0.216331532906797
AC3.3	35.6528667954688	-0.764722512652877	1.57503284906805	-0.485527976832588	0.627301872225445	0.739019808748069	0.776229630824303
AC3.4	27.5229767171973	-0.454267982403019	1.26233879303295	-0.359862174013979	0.718950205316482	0.807354976792586	0.465775100574444
AC3.5	1499.95442118226	0.241290489469722	0.24925107619582	0.968061976511413	0.333013418180158	0.503684799167822	-0.229783371298288
AC3.6	2.42449505424419	1.14588181469791	0.91285592938788	1.25527126220924	0.209380303760082	NA	-1.1343746965269
AC3.7	31.9212558101358	1.5739502397444	0.447504012792397	3.51717570066702	0.000436164965199154	0.0138452087217037	-1.56244312157308
AC3.8	53.011893160463	0.884845857380324	0.487863928589691	1.81371445094992	0.0697216991016222	0.21562779877775	-0.873338739208877
AC7.1	9.23061001629551	-0.658267602178598	0.494391285330732	-1.33147088492516	0.183034118869914	NA	0.669774720350546
AC7.2	591.968905337584	-0.215146342288349	0.139927318897092	-1.53755781204223	0.12415676938593	0.296561884443349	0.226653460459817
AC7.3	85.141945460484	3.28199444542505	1.26905955486039	2.586162668927	0.00970511159658412	0.0614896184908388	-3.27048732725363
AC8.10	0	NA	NA	NA	NA	NA	NA
AC8.11	0	NA	NA	NA	NA	NA	NA
AC8.12	0	NA	NA	NA	NA	NA	NA
AC8.3	0	NA	NA	NA	NA	NA	NA
AC8.4	0	NA	NA	NA	NA	NA	NA
AC8.7	0.185677034988815	0.853740942226181	3.51970620915757	0.242560285288846	0.808346050216236	NA	-0.842233824054753
AH10.1	1175.35023060422	3.40753385518097	1.06569102388488	3.19748761959082	0.00138630362063393	0.0253959278092308	-3.39602673700955
AH10.2	0.340895263636721	-1.96397947283302	2.55955234980213	-0.767313656618453	0.442895050692862	NA	1.97548659100445
AH10.3	14.9191193562357	0.605932490628831	0.538115741716236	1.12602632418131	0.260154377079001	0.441139066533175	-0.594425372457244
AH10.4	0.333703270624167	1.2427068436649	2.69328176914775	0.461409889563145	0.644504557576677	NA	-1.23119972549347
AH6.1	0.845342912360738	-0.31757477223832	1.41105762046339	-0.225061519552992	0.821931415975782	NA	0.329081890409135
AH6.10	0.179163082719977	1.04877811933282	3.51869517626805	0.298058816349406	0.765658273502269	NA	-1.03727100116139
AH6.11	0	NA	NA	NA	NA	NA	NA
AH6.12	0.125363117095244	0.460483891994222	3.52150818602579	0.130763260418231	0.89596258732013	NA	-0.448976773822795
AH6.14	0.0927862860635208	0.460483891994222	3.52150818602579	0.130763260418231	0.89596258732013	NA	-0.448976773822795
AH6.2	233.267832091307	2.67775410416438	0.966373389826679	2.77093112491916	0.00558962488260103	0.0459535527668512	-2.66624698599295
AH6.3	441.980602701862	3.25351099877341	1.02419849404061	3.17664106880087	0.00148991308407162	0.0259245308533866	-3.24200388060199
AH6.4	0.138945835548854	0.981599107333473	3.51903132221834	0.278940145015444	0.780290759482357	NA	-0.970091989162045
AH6.5	3404.96683836762	-0.801598760973923	0.856365307950829	-0.936047681441048	0.349248638480987	0.518260640568095	0.813105879145351
AH6.6	0	NA	NA	NA	NA	NA	NA
AH6.7	0.619923260244296	-2.33906228797958	1.49258087451168	-1.56712599492797	0.117085244171725	NA	2.35056940615083
AH6.8	0.210737786215686	1.13955686716365	2.85644145095025	0.39894284084995	0.689935321583847	NA	-1.1280497489922
AH9.1	8.7417164091677	0.42840262213848	0.580827297855941	0.737573154223089	0.460773873936486	NA	-0.416895503966896
AH9.2	127.798847065109	-0.841326378175949	0.649573136247408	-1.29519884864128	0.19525164191222	0.378177768680693	0.852833496347375
AH9.3	87.4788060364695	-0.322279760417874	0.292875855183246	-1.1003971638981	0.271159113652333	0.450770387382039	0.333786878589221
AH9.4	3.17420253557904	0.53569425666073	1.19854064942959	0.446955434440773	0.654907237651582	NA	-0.524187138489308
AH9.6	14.4817886872068	1.67775404640932	0.761152009503103	2.20422993759762	0.0275081773602994	0.119297797641298	-1.66624692823786
AH9.7	3.90481758013643	1.59890538399785	1.01938810393701	1.56849523535018	0.116765601050428	NA	-1.58739826582641
B0001.1	765.306110271564	-1.22313024989849	0.481775769644906	-2.53879569493501	0.0111234759566163	0.0672854988059461	1.23463736806992
B0001.2	933.991258204291	-0.599160760741011	0.271713201319351	-2.20512201038331	0.0274455339540878	0.119101457946964	0.610667878912431
B0001.3	614.69258700225	-0.790032904135159	0.297338697509864	-2.65701340172498	0.00788363089502427	0.0547022681448115	0.801540022306571
B0001.4	969.112734354555	-0.624539816904516	0.21027619002343	-2.97009288990316	0.002977097133844	0.0340775734527569	0.636046935075924
B0001.5	520.938933906934	-0.484778549852926	0.188056332217586	-2.57783688608807	0.00994209164031378	0.0624248638569702	0.496285668024331
B0001.6	1284.98323257872	-0.270468078699339	0.210707590436808	-1.28361810857713	0.199275610459103	0.382672378293651	0.281975196870783
B0001.7	637.28319529365	-0.719147425184497	0.484095597477656	-1.48554836881715	0.137398620484919	0.314000058528717	0.730654543355922
B0001.8	394.902277761962	-0.919584475869611	0.316779456207401	-2.90291702271105	0.00369704577753674	0.0370867510953631	0.931091594041019
B0019.1	411.725794172062	0.349875303751691	0.31175878600826	1.12226285017168	0.261750696705339	0.442860864148095	-0.338368185580249
B0019.2	571.40571787067	-0.693862109014153	0.527651438318457	-1.31500088623919	0.188509604628438	0.371568695064537	0.705369227185577
B0024.1	1760.96391348172	-0.406883053869646	1.03260845731443	-0.394034206273938	0.693555785022179	0.78901032686321	0.418390172041073
B0024.10	938.03882077615	-0.325192519673234	0.167853359722855	-1.93736080237038	0.0527012545979917	0.18154402032382	0.336699637844633
B0024.11	503.493615900656	-0.641267798468043	0.386873631416115	-1.65756398574062	0.097405503887428	0.260064398319092	0.652774916639465
B0024.12	59.1634615272833	-0.0927622745422954	0.375165310003019	-0.247257067935063	0.80470928218275	0.869481901055937	0.10426939271384
B0024.13	620.276848975359	-0.404914476589129	0.265254157138235	-1.52651510143199	0.12688163245388	0.299884147852475	0.416421594760551
B0024.14	300.912289899418	0.401601811841827	0.193146649221755	2.07925849845182	0.0375935974570571	0.145593678307236	-0.390094693670368
B0024.15	6.03416428280775	1.07287044934338	0.800197165738263	1.34075762234617	0.179999159254527	NA	-1.06136333117176
B0024.2	394.32616134045	0.308253601206682	0.691077423686424	0.446047853165801	0.655562679694204	0.760488201222115	-0.296746483035251
B0024.3	7.27954784523405	1.69477286949638	0.713212862326448	2.37625112924653	0.0174895550542422	NA	-1.6832657513247
B0024.4	188.036520538621	-0.357916755122836	0.8275287435448	-0.432512777247669	0.665368767735392	0.768159783798235	0.369423873294265
B0024.6	1.83853875413289	0.628150631069582	0.982916556095707	0.639068115369519	0.522778621053288	NA	-0.616643512898412
B0024.8	40.5550076537883	0.68074212256352	0.685750153893379	0.992697002980714	0.32085763591774	0.492824349677936	-0.66923500439208
B0024.9	313.138290572718	-0.0445471348204667	0.189278438712602	-0.235352400006355	0.813935227747896	0.875548617673901	0.0560542529918987
B0025.1	503.31689765717	-0.0796843265560833	0.116113974030274	-0.686259575745011	0.49254943546719	0.637087031374848	0.0911914447274626
B0025.2	837.018496656191	-0.239188432505094	0.199409219944938	-1.19948532254998	0.230339288540716	0.413434903633356	0.250695550676503
B0025.4	166.788016780157	-0.481092066888111	0.477444473180075	-1.00763982811182	0.313627401337782	0.486017917792407	0.492599185059528
B0025.5	758.742817598441	2.52113183388667	0.966023135032504	2.60980481984196	0.00905938949397006	0.0591859972038168	-2.50962471571524
B0034.1	59.688572286281	0.0185151524962695	0.609690641767213	0.0303681100346277	0.975773477625581	0.985112397753044	-0.0070080343248399
B0034.2	0.164828343385156	-0.50129219993165	3.52150818602579	-0.142351564571368	0.886802318552478	NA	0.512799318103079
B0034.3	1385.44565645793	0.938918116503917	0.457675543597842	2.05149287445637	0.0402189728418365	0.152531546804285	-0.92741099833248
B0034.4	39.9445769123213	3.25775105938266	1.1675681973353	2.79020194864651	0.00526751743492797	0.0445610527977589	-3.24624394121123
B0034.5	4.82654594316463	1.97136364073747	0.848756980041468	2.32264792760957	0.0201980737693959	NA	-1.95985652256574
B0034.7	13.1646138433609	0.125911301213194	0.56181225022221	0.224116332748873	0.822666784011979	0.881621569955945	-0.114404183041759
B0035.1	1389.72037534455	-0.467269495900232	0.263660671668398	-1.77223813071337	0.0763550364913446	0.227260564072944	0.478776614071653
B0035.10	3.57633002221336	-1.07257941032927	0.784735034947385	-1.36680454237804	0.171686578635026	NA	1.08408652850041
B0035.11	687.04452648153	-0.231126280302414	0.297618992722676	-0.776584445058517	0.437403981658391	0.594108637131688	0.242633398473833
B0035.12	1404.18735293577	-0.621719734933643	0.475020880988885	-1.30882611652642	0.190593258171092	0.373269596981177	0.633226853105067
B0035.13	441.768088295942	-0.112105694506595	0.422594270508408	-0.265279731246059	0.790793977445114	0.860033136069859	0.123612812678027
B0035.14	916.670328835829	-0.149235920192003	0.078437259477654	-1.90261517531116	0.0570907775298002	0.190946340644523	0.160743038363498
B0035.15	325.222825637046	-0.203081929174687	0.316201964815903	-0.642253849665116	0.520708373975695	0.659323539457867	0.214589047346101
B0035.16	55.3562753898442	-0.361337226475625	0.307514895817716	-1.17502349118663	0.239985317696909	0.42261701060456	0.372844344646846
B0035.18	188.040519076052	0.0983580371763735	0.260004649988986	0.37829337737052	0.705212664627431	0.796785142130343	-0.0868509190049413
B0035.2	209.979424422568	-0.415282693560485	0.148374332350555	-2.79888500242293	0.00512793965836401	0.0439771414496552	0.426789811731851
B0035.3	440.782518727382	-0.546527650545618	0.191756884990757	-2.85010705389776	0.00437045162136319	0.0404945966782118	0.558034768717011
B0035.4	399.808215749855	-0.46012516690347	0.345680155318787	-1.33107197455157	0.183165329462147	0.366354606248571	0.471632285074892
B0035.5	784.80720917448	-0.410687136602786	0.220359629268443	-1.86371314004384	0.0623619991257063	0.201804694352707	0.422194254774199
B0035.6	1189.38510933298	-0.712613711082651	0.520537242183159	-1.36899659300824	0.171000339894291	0.353209812647175	0.724120829254073
B0035.7	2.38045916507725	-0.431785013314921	0.853142251011737	-0.506111393267499	0.612778452816813	NA	0.443292131486855
B0035.8	19.6510107459141	-0.0218189541691838	0.624491239755954	-0.0349387674000206	0.972128567557443	0.982879823557858	0.0333260723405506
B0035.9	0.0716362216358811	0.460483891994222	3.52150818602579	0.130763260418231	0.89596258732013	NA	-0.448976773822795
B0041.1	24.1099060640081	2.60392676633216	1.07715030429907	2.4174219288984	0.015630886707163	0.082504368520141	-2.59241964816075
B0041.2	2480.54980832068	0.0618577206409037	0.178502395771075	0.34653720121625	0.728939031544898	0.815130142671058	-0.0503506024694842
B0041.3	56.103489859676	0.156636935426794	0.257611191505282	0.608036221219771	0.54316345091789	0.676512298132336	-0.145129817255323
